,作者名字,分数,评论次数,评论,date
0,adshonck,10,105,脑洞很大，期待后续ψ(｀∇´)ψ,2018-07-07 15:28:26
1,一米八的棺佬,10,16,坐等,2018-07-07 15:35:24
2,敖荣苍生,10,0,要来了,2018-07-07 15:41:30
3,kiriuchuu,10,1,占座,2018-07-07 15:42:09
4,回首古今,10,0,冒泡,2018-07-07 15:46:22
5,哔了个哩の月下Sama,10,0,看似泡面番的，长篇番，曾经看过一个叫血型君的泡面番,2018-07-07 15:46:48
6,唐炒栗子吃不吃,10,0,为什么还不上！快安排一下！,2018-07-07 15:47:27
7,超高校級の废柴,10,0,两年前就看到动画化决定了，终于等到了,2018-07-07 15:47:28
8,请叫我刚爷,8,0,坐等吹爆,2018-07-07 15:49:51
9,代号001CLH,10,0,坐等,2018-07-07 15:51:21
10,价值多枚硬币的名字,10,1,兴奋到舔血,2018-07-07 15:53:32
11,酋长的主治医生,10,0,前排占座,2018-07-07 15:53:50
12,我恨取名字aaa,10,0,在线等,2018-07-07 15:54:26
13,呗be,10,0,看这声优阵仗，值得一追,2018-07-07 15:54:45
14,xlt12,10,0,生物学+花泽香菜=追番,2018-07-07 15:58:05
15,夜愿里的一道星光,10,1,坐等，一环,2018-07-07 15:58:19
16,永遠に絆,10,0,还有30分钟,2018-07-07 15:59:41
17,夏夜初清,10,0,坐等！！！,2018-07-07 16:01:45
18,CZ6650,10,0,带好生物必修一(大雾),2018-07-07 16:02:07
19,我是有梦想的天谴之人,10,91,对不起今天晚上谁睡是狗。。。我怕撑不住先旺为敬,2018-07-07 16:02:49
20,赤初儿,10,0,追番,2018-07-07 16:03:03
21,靑白い空,10,0,超级超级超级想看,2018-07-07 16:03:26
22,过去尘埃,10,0,还有25分钟,2018-07-07 16:05:26
23,影梓-YZ,10,1,期待੭ ᐕ)੭*⁾⁾表白白细胞,2018-07-07 16:06:43
24,凛の猫耳,10,0,咬破嘴皮先喝一口红细胞解解馋,2018-07-07 16:06:48
25,poi好きです,10,0,等等等,2018-07-07 16:07:00
26,生灵守望,10,0,前排坐等,2018-07-07 16:07:27
27,希灵渡鸦10086,10,0,还有20分钟，我等,2018-07-07 16:09:06
28,a370826dk,10,0,坐等……躺等……,2018-07-07 16:10:06
29,纸丶鸢ち,10,0,怎么还没开播,2018-07-07 16:10:50
30,从零开始的七日之都,10,0,我TM吹爆,2018-07-07 16:11:00
31,a起风了a,10,0,还有19分钟,2018-07-07 16:11:45
32,酱丝只是一条咸鱼,10,0,坐等,2018-07-07 16:13:56
33,暗魂心,10,0,我永远喜欢血小板,2018-07-07 16:15:35
34,幼闪闪闪闪,10,0,15分钟先占个座，期待一下血小板,2018-07-07 16:16:10
35,一汪丶,10,0,哇！之前在QQ空间看过预告片就特别想看，没想到B站就有了！第一次看首映！激动⊙∀⊙！果然熬夜是有益的！（滑稽）,2018-07-07 16:16:19
36,看穿一切的花花枕,10,0,要睡着了！,2018-07-07 16:16:23
37,安君叶,10,0,好激动，期待好几个月了！！希望不会失望,2018-07-07 16:17:15
38,格陵兰Gronland,10,0,诸君，白细胞我先承包了,2018-07-07 16:17:33
39,小太医666,10,0,我猜有许多人和我一起在等待更新，坚持住，还有10分钟左右！,2018-07-07 16:19:36
40,_尧卿_,10,0,嗯，今晚不睡觉了,2018-07-07 16:19:51
41,孤幻独贤,10,0,硬核科普番，不错，期待追了！,2018-07-07 16:20:07
42,枢院爱莉丝,10,1,期待(๑˙ー˙๑),2018-07-07 16:21:12
43,可木Koki,10,0,学习生物的番(●—●),2018-07-07 16:21:26
44,九天爱吃鱼,10,0,坐等,2018-07-07 16:22:09
45,你再看看像不像阿波连,10,0,很有新意，白细胞很帅,2018-07-07 16:22:27
46,布施明変わったあああ,10,17,割脉寻妻系列,2018-07-07 16:22:56
47,一裤棕,10,1,还有八分种坚持住兄弟们,2018-07-07 16:22:59
48,阿莫圣,10,37,看了这部番生物必修三满分了(๑>؂<๑）,2018-07-07 16:23:33
49,湫兮兮吖,10,3,坐等。赶紧前排承包白血球！,2018-07-07 16:24:11
50,珂学是永无止境的,10,0,这部番里一个个认老婆的都可以去放血了,2018-07-07 16:24:17
51,哎呀这样好嘛,10,0,在下已经准备好抢楼了,2018-07-07 16:24:29
52,花之魔术师沉,10,0,我爱**,2018-07-07 16:25:15
53,残雪ayu,10,3,坐等！！,2018-07-07 16:25:51
54,寅小仪,10,0,香菜，香菜，香菜,2018-07-07 16:25:52
55,冬天不洗热水澡,10,0,最后五分钟啦，期待期待,2018-07-07 16:25:58
56,tromk,10,0,真-在线等,2018-07-07 16:26:55
57,心塞的年糕,10,0,3分(｡･ω･｡),2018-07-07 16:27:20
58,简界WE,10,0,还差三分钟，兄弟们坚持住,2018-07-07 16:27:24
59,麦拉风,10,0,只是想点开看简介结果发现还有两分钟开播？。。。,2018-07-07 16:28:11
60,记忆ヾ,10,0,不好意思，我现在激动的一批,2018-07-07 16:28:12
